received_at,environment,project,event_count,schema_version,sdk_version,event_type,category,severity,status,timestamp,hostname,os,os_version,python_version,region,app_version,instance_id,process_id,trace_id,message,file,line,logger_name,level,method,path,status_code,duration_ms,hour,date,day_of_week,month,week,day
2026-02-20T13:00:53.883351,production,client-test-app,2,1.0,2.0.0,LOG,APPLICATION,HIGH,FAILURE,2026-02-20 13:00:52.589492+00:00,DESKTOP-N00M686,Windows,11,3.12.2,unknown,1.0.0,8ed293ae-de5d-458a-a980-ad5fa32eb63d,17980,a383f114-1aa8-477b-931f-2d64c0a44214,This is a test error log,c:\Users\DeLL\Desktop\Ai-assistant-distributors\AI-Assisted-Distributed-Log-Monitoring-System\Agent-sdk_v2\client_app.py,129.0,root,ERROR,,,,,13,2026-02-20,Friday,2,8,20
2026-02-20T13:00:53.883351,production,client-test-app,2,1.0,2.0.0,INCOMING_REQUEST,APPLICATION,LOW,SUCCESS,2026-02-20 13:00:52.589492+00:00,DESKTOP-N00M686,Windows,11,3.12.2,unknown,1.0.0,8ed293ae-de5d-458a-a980-ad5fa32eb63d,17980,a4dbbcfe-c7c0-4049-a523-f568bebef931,,,,,,GET,/log-error,200.0,0.0,13,2026-02-20,Friday,2,8,20
2026-02-20T13:04:48.940264,production,client-test-app,3,1.0,2.0.0,LOG,APPLICATION,HIGH,FAILURE,2026-02-20 13:04:48.808745+00:00,DESKTOP-N00M686,Windows,11,3.12.2,unknown,1.0.0,8ed293ae-de5d-458a-a980-ad5fa32eb63d,17980,782e67af-cf98-41c3-a013-29f1d60799be,Exception on /crash [GET],C:\Users\DeLL\python\Lib\site-packages\flask\app.py,1414.0,client_app,ERROR,,,,,13,2026-02-20,Friday,2,8,20
2026-02-20T13:04:48.940264,production,client-test-app,3,1.0,2.0.0,SERVER_ERROR,APPLICATION,LOW,FAILURE,2026-02-20 13:04:48.808745+00:00,DESKTOP-N00M686,Windows,11,3.12.2,unknown,1.0.0,8ed293ae-de5d-458a-a980-ad5fa32eb63d,17980,ab65ccaa-4dca-478d-8146-026aa2bd6460,,,,,,,,,,13,2026-02-20,Friday,2,8,20
2026-02-20T13:04:48.940264,production,client-test-app,3,1.0,2.0.0,SERVER_ERROR,APPLICATION,LOW,FAILURE,2026-02-20 13:04:48.808745+00:00,DESKTOP-N00M686,Windows,11,3.12.2,unknown,1.0.0,8ed293ae-de5d-458a-a980-ad5fa32eb63d,17980,6b1d1ec5-9918-4f34-b687-4c2e7580c378,,,,,,,,,,13,2026-02-20,Friday,2,8,20
2026-02-20T13:36:11.679028,production,client-test-app,4,1.0,2.0.0,LOG,APPLICATION,LOW,SUCCESS,2026-02-20 13:35:47.521836+00:00,DESKTOP-N00M686,Windows,11,3.12.2,unknown,1.0.0,8ed293ae-de5d-458a-a980-ad5fa32eb63d,17896,cf4fcaec-127d-45ac-b6f8-abc98b639642,"[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://x.x.x.x:5000",C:\Users\DeLL\python\Lib\site-packages\werkzeug\_internal.py,187.0,werkzeug,INFO,,,,,13,2026-02-20,Friday,2,8,20
2026-02-20T13:36:11.679028,production,client-test-app,4,1.0,2.0.0,LOG,APPLICATION,LOW,SUCCESS,2026-02-20 13:35:47.522290+00:00,DESKTOP-N00M686,Windows,11,3.12.2,unknown,1.0.0,8ed293ae-de5d-458a-a980-ad5fa32eb63d,17896,f3e3fa68-5b14-4632-b1e4-5468c4cf3b0e,[33mPress CTRL+C to quit[0m,C:\Users\DeLL\python\Lib\site-packages\werkzeug\_internal.py,187.0,werkzeug,INFO,,,,,13,2026-02-20,Friday,2,8,20
2026-02-20T13:36:11.679028,production,client-test-app,4,1.0,2.0.0,DB_QUERY,DATABASE,MEDIUM,SUCCESS,2026-02-20 13:35:51.236194+00:00,DESKTOP-N00M686,Windows,11,3.12.2,unknown,1.0.0,8ed293ae-de5d-458a-a980-ad5fa32eb63d,17896,9534ccf9-c56f-445a-a15e-f2c580870ee2,,,,,,,,,,13,2026-02-20,Friday,2,8,20
2026-02-20T13:36:11.679028,production,client-test-app,4,1.0,2.0.0,INCOMING_REQUEST,APPLICATION,LOW,SUCCESS,2026-02-20 13:35:51.246208+00:00,DESKTOP-N00M686,Windows,11,3.12.2,unknown,1.0.0,8ed293ae-de5d-458a-a980-ad5fa32eb63d,17896,1f1586ff-52c9-4927-a88b-e83cad41e759,,,,,,GET,/http/200,200.0,10.0,13,2026-02-20,Friday,2,8,20
2026-02-20T13:36:16.734755,production,client-test-app,15,1.0,2.0.0,DB_QUERY,DATABASE,MEDIUM,SUCCESS,2026-02-20 13:35:54.582308+00:00,DESKTOP-N00M686,Windows,11,3.12.2,unknown,1.0.0,8ed293ae-de5d-458a-a980-ad5fa32eb63d,17896,6d2d7b29-e16c-4164-9bd7-df95a967648a,,,,,,,,,,13,2026-02-20,Friday,2,8,20
